recipe_name,text,author,likes,ingredients,steps,query,collected_at
김치찌개,"오늘은 간단하게 김치찌개 만들어 먹었어요! 재료는 김치, 돼지고기, 두부, 양파, 마늘, 고춧가루, 다진 파, 그리고 국간장만 있으면 돼요. 냄비에 기름을 두르고 돼지고기를 볶다가 김치를 넣고 함께 볶아요. 물을 붓고 끓이다가 두부, 양파, 마늘을 넣고, 고춧가루와 국간장을 넣어 간을 맞춥니다. 마지막에 다진 파를 뿌려주면 완성!",@cook_kim,120,"김치, 돼지고기, 두부, 양파, 마늘, 고춧가루, 다진 파, 국간장","냄비에 기름을 두르고 돼지고기를 볶는다 | 김치를 넣고 함께 볶는다 | 물을 붓고 끓인다 | 두부, 양파, 마늘을 넣는다 | 고춧가루와 국간장을 넣어 간을 맞춘다 | 마지막에 다진 파를 뿌린다",한국 레시피 추천,2025-12-31T20:59:24.117647
된장찌개,"오늘 저녁 메뉴는 된장찌개! 재료는 된장, 두부, 애호박, 감자, 양파, 대파, 마늘, 고춧가루, 그리고 멸치육수입니다. 냄비에 멸치육수를 붓고 끓이다가 된장을 풀어줍니다. 두부, 애호박, 감자, 양파, 대파, 마늘을 넣고, 고춧가루로 맛을 더해줍니다. 다 끓으면 완성!",@foodie_lee,95,"된장, 두부, 애호박, 감자, 양파, 대파, 마늘, 고춧가루, 멸치육수","냄비에 멸치육수를 붓고 끓인다 | 된장을 풀어준다 | 두부, 애호박, 감자, 양파, 대파, 마늘을 넣는다 | 고춧가루로 맛을 더해준다 | 다 끓으면 완성",한국 레시피 추천,2025-12-31T20:59:24.117654
김치볶음밥,"자취생 필수 레시피! 간단한 김치볶음밥 만들기! 재료: 김치, 밥, 참기름, 간장. 1. 김치를 잘게 썬다. 2. 팬에 참기름을 두르고 김치를 볶는다. 3. 밥을 넣고 잘 섞는다. 4. 간장으로 간을 맞춘다. 완성!",@cookingeasy,523,"김치, 밥, 참기름, 간장",김치를 잘게 썬다. | 팬에 참기름을 두르고 김치를 볶는다. | 밥을 넣고 잘 섞는다. | 간장으로 간을 맞춘다.,자취 요리 레시피,2025-12-31T20:59:35.962804
계란말이,"자취방에서 쉽게 만들 수 있는 계란말이! 재료: 계란, 소금, 대파. 1. 계란을 풀고 소금을 넣어 간을 맞춘다. 2. 대파를 썰어 계란물에 넣는다. 3. 팬에 기름을 두르고 계란물을 부어가며 말아준다. 완성!",@easylunch,345,"계란, 소금, 대파",계란을 풀고 소금을 넣어 간을 맞춘다. | 대파를 썰어 계란물에 넣는다. | 팬에 기름을 두르고 계란물을 부어가며 말아준다.,자취 요리 레시피,2025-12-31T20:59:35.962811
토마토 파스타,"자취생을 위한 간단한 토마토 파스타! 재료: 스파게티, 토마토소스, 마늘, 올리브오일. 1. 스파게티를 삶는다. 2. 팬에 올리브오일을 두르고 마늘을 볶는다. 3. 토마토소스를 넣고 끓인다. 4. 삶은 스파게티를 넣고 잘 섞는다. 완성!",@pastalover,456,"스파게티, 토마토소스, 마늘, 올리브오일",스파게티를 삶는다. | 팬에 올리브오일을 두르고 마늘을 볶는다. | 토마토소스를 넣고 끓인다. | 삶은 스파게티를 넣고 잘 섞는다.,자취 요리 레시피,2025-12-31T20:59:35.962813
두부조림,"자취방에서도 맛있게! 간단한 두부조림! 재료: 두부, 간장, 물, 대파, 고추. 1. 두부를 먹기 좋은 크기로 자른다. 2. 팬에 간장과 물을 넣고 끓인다. 3. 두부를 넣고 조린다. 4. 대파와 고추를 넣고 마무리. 완성!",@tofulover,298,"두부, 간장, 물, 대파, 고추",두부를 먹기 좋은 크기로 자른다. | 팬에 간장과 물을 넣고 끓인다. | 두부를 넣고 조린다. | 대파와 고추를 넣고 마무리.,자취 요리 레시피,2025-12-31T20:59:35.962814
참치김치찌개,"자취생 필수! 간단한 참치김치찌개! 재료: 김치, 참치캔, 물, 두부, 대파. 1. 김치를 썰어 냄비에 넣는다. 2. 물을 붓고 끓인다. 3. 참치캔을 넣고 잘 섞는다. 4. 두부를 넣고 끓인다. 5. 대파를 넣고 마무리. 완성!",@koreanfoodie,678,"김치, 참치캔, 물, 두부, 대파",김치를 썰어 냄비에 넣는다. | 물을 붓고 끓인다. | 참치캔을 넣고 잘 섞는다. | 두부를 넣고 끓인다. | 대파를 넣고 마무리.,자취 요리 레시피,2025-12-31T20:59:35.962818
김치찌개,"김치찌개 만드는 법! 김치 300g, 돼지고기 200g, 두부 1/2모, 양파 1/2개, 마늘 3쪽, 고춧가루 1큰술, 국간장 2큰술, 물 3컵을 준비해요. 냄비에 기름을 두르고 돼지고기를 볶다가 김치를 넣고 함께 볶아요. 물을 붓고 끓이다가 두부, 양파, 마늘을 넣고 15분 정도 더 끓이면 완성!",@cook_master,567,"김치 300g, 돼지고기 200g, 두부 1/2모, 양파 1/2개, 마늘 3쪽, 고춧가루 1큰술, 국간장 2큰술, 물 3컵","냄비에 기름을 두르고 돼지고기를 볶는다 | 김치를 넣고 함께 볶는다 | 물을 붓고 끓인다 | 두부, 양파, 마늘을 넣고 15분 정도 더 끓인다",찌개 만드는 법,2025-12-31T20:59:44.969937
된장찌개,"된장찌개 만들기! 된장 3큰술, 두부 1/2모, 감자 1개, 양파 1/2개, 애호박 1/4개, 마늘 2쪽, 물 4컵을 준비해요. 냄비에 물을 붓고 된장을 풀어요. 감자, 양파, 애호박, 마늘을 넣고 끓이다가 두부를 넣고 10분 정도 더 끓이면 완성!",@home_chef,321,"된장 3큰술, 두부 1/2모, 감자 1개, 양파 1/2개, 애호박 1/4개, 마늘 2쪽, 물 4컵","냄비에 물을 붓고 된장을 푼다 | 감자, 양파, 애호박, 마늘을 넣고 끓인다 | 두부를 넣고 10분 정도 더 끓인다",찌개 만드는 법,2025-12-31T20:59:44.969947
볶음밥,"볶음밥 만들기! 재료: 밥 2공기, 햄 100g, 당근 1/2개, 양파 1/2개, 대파 1대, 간장 2큰술, 참기름 1큰술. 방법: 1. 모든 재료를 다져서 준비. 2. 팬에 기름을 두르고 햄과 채소를 볶다가 밥을 넣고 간장, 참기름을 넣어 볶는다. 3. 완성!",@cookinglover,150,"밥 2공기, 햄 100g, 당근 1/2개, 양파 1/2개, 대파 1대, 간장 2큰술, 참기름 1큰술","모든 재료를 다져서 준비 | 팬에 기름을 두르고 햄과 채소를 볶다가 밥을 넣고 간장, 참기름을 넣어 볶는다 | 완성",볶음밥 만들기,2025-12-31T20:59:52.164083
김치볶음밥,"쉬운 김치볶음밥 레시피! 재료: 김치 100g, 밥 2공기, 베이컨 50g, 간장 1큰술, 참기름 1작은술. 방법: 1. 김치와 베이컨을 다져서 준비. 2. 팬에 기름을 두르고 베이컨을 볶다가 김치를 넣고 볶는다. 3. 밥을 넣고 간장, 참기름을 넣어 볶는다. 4. 완성!",@easycooking,200,"김치 100g, 밥 2공기, 베이컨 50g, 간장 1큰술, 참기름 1작은술","김치와 베이컨을 다져서 준비 | 팬에 기름을 두르고 베이컨을 볶다가 김치를 넣고 볶는다 | 밥을 넣고 간장, 참기름을 넣어 볶는다 | 완성",볶음밥 만들기,2025-12-31T20:59:52.164095
무생채,"오늘은 간단하게 무생채 레시피를 공유해볼게요! 무를 얇게 썰어서 소금에 10분정도 절여주고, 물기를 짠 후 양념장을 버무려주면 끝! 양념장은 고추가루, 식초, 설탕, 다진 마늘을 섞어서 만들어요. 간단하지만 맛있는 반찬이랍니다!",@foodlover,150,"무, 소금, 고추가루, 식초, 설탕, 다진 마늘","무를 얇게 썰어서 소금에 10분정도 절인다. | 물기를 짠다. | 고추가루, 식초, 설탕, 다진 마늘을 섞어 양념장을 만든다. | 양념장을 무에 버무려 완성한다.",반찬 레시피,2025-12-31T21:00:00.129884
오이 소박이,"오이 소박이 만들기! 오이를 얇게 썰어서 소금에 절인 후, 고추장, 고추가루, 다진 마늘, 참기름을 섞어 양념장을 만들어요. 오이와 양념장을 버무려주면 끝! 시원하고 맛있는 반찬이에요!",@homechef,120,"오이, 소금, 고추장, 고추가루, 다진 마늘, 참기름","오이를 얇게 썰어서 소금에 절인다. | 고추장, 고추가루, 다진 마늘, 참기름을 섞어 양념장을 만든다. | 오이와 양념장을 버무려 완성한다.",반찬 레시피,2025-12-31T21:00:00.129893
깍두기,"깍두기 레시피 공유할게요! 무를 한 입 크기로 썰어서 소금에 30분정도 절인 후, 물기를 짜고 양념장을 버무려줘요. 양념장은 고춧가루, 다진 마늘, 생강, 멸치액젓, 설탕을 섞어서 만들어요. 시원하고 아삭한 깍두기 완성!",@koreanfoodie,200,"무, 소금, 고춧가루, 다진 마늘, 생강, 멸치액젓, 설탕","무를 한 입 크기로 썰어서 소금에 30분정도 절인다. | 물기를 짠다. | 고춧가루, 다진 마늘, 생강, 멸치액젓, 설탕을 섞어 양념장을 만든다. | 양념장을 무에 버무려 완성한다.",반찬 레시피,2025-12-31T21:00:00.129895
집에서 만드는 간단 약과,"집에서 간단하게 약과 만들기! 재료는 밀가루, 꿀, 참기름, 그리고 약간의 소금이면 돼요. 먼저 밀가루를 체에 쳐서 준비하고, 꿀과 참기름을 섞어서 반죽을 만드세요. 반죽을 동그랗게 빚어서 기름에 튀기면 끝! 간단하지만 맛있는 약과 완성~",@home_cooking,120,"밀가루, 꿀, 참기름, 소금",밀가루를 체에 쳐서 준비 | 꿀과 참기름을 섞어서 반죽 | 반죽을 동그랗게 빚기 | 기름에 튀기기,약과 만들기,2025-12-31T21:00:10.215070
달콤한 약과,"약과 만들기 레시피 공유합니다! 재료는 밀가루, 꿀, 참기름, 설탕, 그리고 약간의 소금이 필요해요. 밀가루와 설탕, 소금을 섞고, 꿀과 참기름을 넣어 반죽을 만드세요. 반죽을 동그랗게 빚어서 기름에 튀기면 완성! 맛있게 드세요~",@sweet_treats,85,"밀가루, 꿀, 참기름, 설탕, 소금","밀가루, 설탕, 소금 섞기 | 꿀과 참기름 넣어 반죽 | 반죽을 동그랗게 빚기 | 기름에 튀기기",약과 만들기,2025-12-31T21:00:10.215080
전통 약과,"전통 약과 만들기! 재료는 밀가루, 꿀, 참기름, 그리고 약간의 소금이에요. 밀가루를 체에 쳐서 준비하고, 꿀과 참기름을 섞어서 반죽을 만드세요. 반죽을 동그랗게 빚어서 기름에 튀기면 끝! 전통의 맛을 느껴보세요~",@traditional_korean_food,70,"밀가루, 꿀, 참기름, 소금",밀가루를 체에 쳐서 준비 | 꿀과 참기름을 섞어서 반죽 | 반죽을 동그랗게 빚기 | 기름에 튀기기,약과 만들기,2025-12-31T21:00:10.215083
계란 볶음밥,"간단한 계란 볶음밥 레시피! 재료: 밥 1공기, 계란 2개, 양파 1/4개, 소금, 후추, 식용유. 방법: 1. 양파를 다지고 식용유를 두른 팬에 볶는다. 2. 계란을 풀어 넣고 볶다가 밥을 넣고 잘 섞는다. 3. 소금과 후추로 간을 맞춘다.",@easycooking,120,"밥 1공기, 계란 2개, 양파 1/4개, 소금, 후추, 식용유",양파를 다지고 식용유를 두른 팬에 볶는다. | 계란을 풀어 넣고 볶다가 밥을 넣고 잘 섞는다. | 소금과 후추로 간을 맞춘다.,간단 요리,2025-12-31T21:00:24.852453
김치찌개,"간단한 김치찌개 레시피! 재료: 김치 300g, 돼지고기 200g, 두부 1/2모, 양파 1/2개, 대파 1대, 고춧가루 1큰술, 된장 1큰술, 물 3컵. 방법: 1. 냄비에 기름을 두르고 돼지고기를 볶는다. 2. 김치와 양파를 넣고 볶다가 물을 붓는다. 3. 고춧가루와 된장을 넣고 끓인다. 4. 두부와 대파를 넣고 5분 더 끓인다.",@koreanfoodlover,150,"김치 300g, 돼지고기 200g, 두부 1/2모, 양파 1/2개, 대파 1대, 고춧가루 1큰술, 된장 1큰술, 물 3컵",냄비에 기름을 두르고 돼지고기를 볶는다. | 김치와 양파를 넣고 볶다가 물을 붓는다. | 고춧가루와 된장을 넣고 끓인다. | 두부와 대파를 넣고 5분 더 끓인다.,간단 요리,2025-12-31T21:00:24.852461
간단한 파스타,"간단한 파스타 레시피! 재료: 스파게티 100g, 올리브 오일 2큰술, 마늘 2쪽, 방울토마토 10개, 소금, 후추, 파마산 치즈. 방법: 1. 스파게티를 삶는다. 2. 팬에 올리브 오일을 두르고 마늘을 볶는다. 3. 방울토마토를 넣고 터질 때까지 볶는다. 4. 삶은 스파게티를 넣고 소금, 후추로 간을 맞춘다. 5. 파마산 치즈를 뿌린다.",@pastalove,90,"스파게티 100g, 올리브 오일 2큰술, 마늘 2쪽, 방울토마토 10개, 소금, 후추, 파마산 치즈","스파게티를 삶는다. | 팬에 올리브 오일을 두르고 마늘을 볶는다. | 방울토마토를 넣고 터질 때까지 볶는다. | 삶은 스파게티를 넣고 소금, 후추로 간을 맞춘다. | 파마산 치즈를 뿌린다.",간단 요리,2025-12-31T21:00:24.852464
간단한 샐러드,"간단한 샐러드 레시피! 재료: 상추 100g, 토마토 1개, 오이 1/2개, 올리브 오일 1큰술, 레몬즙 1큰술, 소금, 후추. 방법: 1. 상추, 토마토, 오이를 씻어 잘라서 볼에 담는다. 2. 올리브 오일과 레몬즙을 섞어 드레싱을 만든다. 3. 드레싱을 샐러드에 뿌리고 소금, 후추로 간을 맞춘다.",@healthyeats,75,"상추 100g, 토마토 1개, 오이 1/2개, 올리브 오일 1큰술, 레몬즙 1큰술, 소금, 후추","상추, 토마토, 오이를 씻어 잘라서 볼에 담는다. | 올리브 오일과 레몬즙을 섞어 드레싱을 만든다. | 드레싱을 샐러드에 뿌리고 소금, 후추로 간을 맞춘다.",간단 요리,2025-12-31T21:00:24.852466
김치찌개,"김치찌개 레시피! 김치 300g, 돼지고기 200g, 양파 1개, 대파 1대, 마늘 3쪽, 고춧가루 1큰술, 고추장 1큰술, 멸치육수 3컵을 준비해요. 돼지고기를 볶다가 김치와 양파를 넣고 볶아요. 고춧가루와 고추장을 넣고 잘 섞은 후, 멸치육수를 부어 끓여요. 대파와 마늘을 넣고 10분 정도 더 끓이면 완성!",@cook_with_me,523,"김치 300g, 돼지고기 200g, 양파 1개, 대파 1대, 마늘 3쪽, 고춧가루 1큰술, 고추장 1큰술, 멸치육수 3컵","돼지고기를 볶다가 김치와 양파를 넣고 볶아요 | 고춧가루와 고추장을 넣고 잘 섞은 후, 멸치육수를 부어 끓여요 | 대파와 마늘을 넣고 10분 정도 더 끓이면 완성",김치찌개 레시피,2025-12-31T21:00:33.263495
김치찌개,"집에서 간단하게 김치찌개 만들기! 김치 250g, 돼지고기 150g, 두부 1/2모, 양파 1/2개, 대파 1/2대, 고춧가루 1큰술, 고추장 1/2큰술, 멸치육수 2컵을 준비해요. 돼지고기를 볶다가 김치와 양파를 넣고 볶아요. 고춧가루와 고추장을 넣고 잘 섞은 후, 멸치육수를 부어 끓여요. 두부를 넣고 5분 끓인 후 대파를 넣고 5분 더 끓이면 완성!",@home_cooking,312,"김치 250g, 돼지고기 150g, 두부 1/2모, 양파 1/2개, 대파 1/2대, 고춧가루 1큰술, 고추장 1/2큰술, 멸치육수 2컵","돼지고기를 볶다가 김치와 양파를 넣고 볶아요 | 고춧가루와 고추장을 넣고 잘 섞은 후, 멸치육수를 부어 끓여요 | 두부를 넣고 5분 끓인 후 대파를 넣고 5분 더 끓이면 완성",김치찌개 레시피,2025-12-31T21:00:33.263507
제육볶음,"제육볶음 만들기! 돼지고기 500g, 양파 1개, 고추장 2큰술, 간장 1큰술, 설탕 1큰술, 마늘 1큰술, 고춧가루 1큰술을 준비해요. 고기는 한 입 크기로 썰고, 양파도 큼직하게 썰어요. 고추장, 간장, 설탕, 마늘, 고춧가루를 섞어 양념장을 만들어요. 팬에 기름을 두르고 고기를 볶다가 양파를 넣고 같이 볶아요. 양념장을 넣고 잘 섞어가며 볶으면 완성! #제육볶음 #집밥",@foodlover,120,"돼지고기 500g, 양파 1개, 고추장 2큰술, 간장 1큰술, 설탕 1큰술, 마늘 1큰술, 고춧가루 1큰술","고기는 한 입 크기로 썰고, 양파도 큼직하게 썰어요. | 고추장, 간장, 설탕, 마늘, 고춧가루를 섞어 양념장을 만들어요. | 팬에 기름을 두르고 고기를 볶다가 양파를 넣고 같이 볶아요. | 양념장을 넣고 잘 섞어가며 볶으면 완성!",제육볶음 만들기,2025-12-31T21:00:42.078348
제육볶음,"집에서 제육볶음 만들기! 돼지고기 600g, 양파 1개, 대파 1대, 고추장 3큰술, 간장 2큰술, 설탕 2큰술, 마늘 2큰술, 고춧가루 2큰술을 준비해요. 고기는 한 입 크기로 썰고, 양파와 대파도 썰어요. 고추장, 간장, 설탕, 마늘, 고춧가루를 섞어 양념장을 만들어요. 팬에 기름을 두르고 고기를 볶다가 양파와 대파를 넣고 같이 볶아요. 양념장을 넣고 잘 섞어가며 볶으면 완성! #제육볶음 #요리",@homechef,95,"돼지고기 600g, 양파 1개, 대파 1대, 고추장 3큰술, 간장 2큰술, 설탕 2큰술, 마늘 2큰술, 고춧가루 2큰술","고기는 한 입 크기로 썰고, 양파와 대파도 썰어요. | 고추장, 간장, 설탕, 마늘, 고춧가루를 섞어 양념장을 만들어요. | 팬에 기름을 두르고 고기를 볶다가 양파와 대파를 넣고 같이 볶아요. | 양념장을 넣고 잘 섞어가며 볶으면 완성!",제육볶음 만들기,2025-12-31T21:00:42.078359
